what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1322862115367
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1322862115367
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1322862115368
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1322862115368
os,sysinfo,,,"macosx",1322862115371
arch,sysinfo,,,"x86_64",1322862115371
ws,sysinfo,,,"cocoa",1322862115371
locale,sysinfo,,,"en_US",1322862115371
processors,sysinfo,,,"8",1322862115371
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1322862115371
java.runtime.version,sysinfo,,,"1.6.0_29-b11-402-10M3527",1322862115371
java.specification.name,sysinfo,,,"Java Platform API Specification",1322862115371
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1322862115371
java.specification.version,sysinfo,,,"1.6",1322862115371
java.vendor,sysinfo,,,"Apple Inc.",1322862115371
java.version,sysinfo,,,"1.6.0_29",1322862115371
java.vm.info,sysinfo,,,"mixed mode",1322862115371
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1322862115371
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1322862115371
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1322862115371
java.vm.specification.version,sysinfo,,,"1.0",1322862115371
java.vm.vendor,sysinfo,,,"Apple Inc.",1322862115371
java.vm.version,sysinfo,,,"20.4-b02-402",1322862115371
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1322862115374
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322862117508
activated,view,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.internal.introview",1322862117512
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1322862118273
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1322862118293
closed,view,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.internal.introview",1322862118305
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322862122039
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322862144081
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1322862144088
started,bundle,org.eclipse.wb.core.lib,1.1.0.r37x201109091012,"org.eclipse.wb.core.lib",1322862144124
started,bundle,org.eclipse.wb.core,1.1.0.r37x201109091012,"org.eclipse.wb.core",1322862144140
started,bundle,org.eclipse.debug.core,3.7.0.v20110518,"org.eclipse.debug.core",1322862144329
started,bundle,org.eclipse.jdt.launching,3.6.1.v20110803_r371,"org.eclipse.jdt.launching",1322862144343
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r371_v20110824-0800,"org.eclipse.ltk.core.refactoring",1322862144704
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1322862144834
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1322862144923
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1322862144983
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1322862145104
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.edit.text.openLocalFile",1322862145123
started,bundle,org.eclipse.jdt.launching.macosx,3.2.100.v20110509,"org.eclipse.jdt.launching.macosx",1322862145409
started,bundle,org.eclipse.jgit,1.1.0.201109151100-r,"org.eclipse.jgit",1322862145963
started,bundle,org.eclipse.egit.core,1.1.0.201109151100-r,"org.eclipse.egit.core",1322862145978
started,bundle,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui",1322862146007
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1322862147234
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1322862147239
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1322862165089
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322862216041
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322862226787
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322862242869
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322862268195
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1322862269844
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1322862276789
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322862279596
