what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1323630708928
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1323630708945
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1323630708952
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1323630708963
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1323630708973
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1323630708973
started,bundle,org.eclipse.wb.core,1.1.0.r37x201109091012,"org.eclipse.wb.core",1323630708989
started,bundle,org.eclipse.wb.core.lib,1.1.0.r37x201109091012,"org.eclipse.wb.core.lib",1323630709000
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1323630709008
os,sysinfo,,,"macosx",1323630709011
arch,sysinfo,,,"x86_64",1323630709011
ws,sysinfo,,,"cocoa",1323630709011
locale,sysinfo,,,"en_US",1323630709011
processors,sysinfo,,,"8",1323630709011
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1323630709011
java.runtime.version,sysinfo,,,"1.6.0_29-b11-402-10M3527",1323630709011
java.specification.name,sysinfo,,,"Java Platform API Specification",1323630709011
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1323630709011
java.specification.version,sysinfo,,,"1.6",1323630709011
java.vendor,sysinfo,,,"Apple Inc.",1323630709011
java.version,sysinfo,,,"1.6.0_29",1323630709011
java.vm.info,sysinfo,,,"mixed mode",1323630709011
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1323630709011
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1323630709011
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1323630709011
java.vm.specification.version,sysinfo,,,"1.0",1323630709011
